"ID","TaxonID","Taxon","Trait","Data","Units","DataType","Method","SourceID","Region","Lat","Long","Alt","Accuracy","Comments"
"A04088",1761,"Acanthus spinosus","GrowthForm","perennial forb","[13]","categorical","general reference","Tutin1964","U",,,,,
"C05207",1761,"Acanthus spinosus","DispMode","W","[9]","categorical","compilation","Kazanis2004a","E",,,,,
"A02118",1761,"Acanthus spinosus","FruitType","dry","[2]","categorical","general reference","Tutin1964","U",,,,,
"R00652",1761,"Acanthus spinosus","RespFire","yes","[2]","boolean","compilation","Kazanis2004a","E",38.42,23.54,,"Low",
"R03357",1761,"Acanthus spinosus","SeedlEmerg","no","[2]","boolean","compilation","Kazanis2004a","E",38.42,23.54,,"Low",
"A13567",6562,"Sambucus ebulus","GrowthForm","perennial forb","[13]","categorical","general reference","Tutin1964","U",,,,,
"A13581",6562,"Sambucus ebulus","Clonality","rhizomes","[5]","categorical","general reference","Tutin1964","U",,,,,
"A13445",6562,"Sambucus ebulus","DispMode","Z","[9]","categorical","experience","Herrera1987c","W",,,,,"f.a. By Birds"
"A13386",6562,"Sambucus ebulus","FruitMass","32.2","mg","quantitative","measure","Herrera1987c","W",40,-4,,"VLow","f.a. Fruit fresh weight=140mg"
"A13504",6562,"Sambucus ebulus","FruitType","fleshy","[2]","categorical","experience","Herrera1987c","W",,,,,"f.a. Berry"
"A13327",6562,"Sambucus ebulus","SeedMass","3","mg","quantitative","measure","Herrera1987c","W",40,-4,,"VLow",
"A05265",2967,"Sambucus nigra","GrowthForm","tree","[13]","categorical","general reference","Tutin1964","U",,,,,
"A12567",2967,"Sambucus nigra","LeafDivision","compound","[2]","categorical","general reference","Davis1965","U",,,,,
"A07575",2967,"Sambucus nigra","LeafLifespan","6.53","months","quantitative","measure","Mediavilla2003","W",41.10023,-5.910835,975,"Low",
"A12873",2967,"Sambucus nigra","LeafShape","broad","[7]","categorical","general reference","Davis1965","U",,,,,
"A07594",2967,"Sambucus nigra","LNCm","39.9","mg/g","quantitative","measure","Mediavilla2003","W",41.10023,-5.910835,975,"Low","SE = 0.63 mg/g. Sampling: growing season"
"A07031",2967,"Sambucus nigra","LNCm","39.67","mg/g","quantitative","measure","VillarSalvador2000","W",,,,,"f.a. Sampling: spring-summer"
"A07455",2967,"Sambucus nigra","SLA","20.9","mm2/mg","quantitative","measure","Mediavilla2003","W",41.10023,-5.910835,975,"Low","SE = 0.85 mm2/mg. Sampling: growing season"
"A06709",2967,"Sambucus nigra","StemDensity","0.5","gr/cm3","quantitative","measure","Crivellaro2013","M",35.17,33.37,,"Low",
"C01623",2967,"Sambucus nigra","NutritionalRelat","endomycorrhizal symbiosis","[8]","categorical","compilation","Honrubia1992","W",40,-4,,"VLow",
"A17019",2967,"Sambucus nigra","NutritionalRelat","endomycorrhizal symbiosis","[8]","categorical","compilation","Correia2018","U",,,,,"f.a. facultative"
"A17020",2967,"Sambucus nigra","DispMode","N","[9]","categorical","compilation","Correia2018","U",,,,,
"A13393",2967,"Sambucus nigra","FruitMass","8","mg","quantitative","measure","Herrera1987c","W",40,-4,,"VLow","f.a. Fruit fresh weight=43mg"
"A02426",2967,"Sambucus nigra","FruitType","fleshy","[2]","categorical","general reference","Tutin1964","U",,,,,
"A10304",2967,"Sambucus nigra","SeedMass","2.47","mg","quantitative","measure","Peman2012","W",41.38333,-4.45,,"VLow",
"A13334",2967,"Sambucus nigra","SeedMass","1","mg","quantitative","measure","Herrera1987c","W",40,-4,,"VLow",
"A10403",2967,"Sambucus nigra","SeedMass","2.32","mg","quantitative","measure","Peman2012","W",40,-4,,"VLow",
"A10458",6053,"Sambucus racemosa","GrowthForm","large shrub","[13]","categorical","general reference","Consensus2017","U",,,,,
"A17021",6053,"Sambucus racemosa","NutritionalRelat","endomycorrhizal symbiosis","[8]","categorical","compilation","Correia2018","U",,,,,"f.a. facultative"
"A17022",6053,"Sambucus racemosa","DispMode","N","[9]","categorical","compilation","Correia2018","U",,,,,
"A13392",6053,"Sambucus racemosa","FruitMass","17.2","mg","quantitative","measure","Herrera1987c","W",42.79,-3.4,,"VLow","f.a. Fruit fresh weight=103mg"
"A13510",6053,"Sambucus racemosa","FruitType","fleshy","[2]","categorical","experience","Herrera1987c","W",,,,,"f.a. Berry"
"A13333",6053,"Sambucus racemosa","SeedMass","3","mg","quantitative","measure","Herrera1987c","W",42.79,-3.4,,"VLow",
"A05518",3228,"Viburnum lantana","GrowthForm","large shrub","[13]","categorical","general reference","Tutin1964","U",,,,,
"E01130",3228,"Viburnum lantana","LeafDivision","simple","[2]","categorical","general reference","Bolos1984","W",,,,,
"A07133",3228,"Viburnum lantana","LeafLifespan","6","months","quantitative","measure","VillarSalvador2000","W",,,,,"f.c. data from phenomorphologic herbarium of IPE-CSIC"
"E01146",3228,"Viburnum lantana","LeafPhenology","winter deciduous","[4]","categorical","general reference","Bolos1984","W",,,,,
"E01162",3228,"Viburnum lantana","LeafShape","broad","[7]","categorical","general reference","Bolos1984","W",,,,,
"E01114",3228,"Viburnum lantana","Height","3","m","quantitative","general reference","Bolos1984","W",,,,,
"A05999",3228,"Viburnum lantana","StemDensity","0.72324","gr/cm3","quantitative","compilation","Zanne2009","U",,,,,
"E01063",3228,"Viburnum lantana","Clonality","no","[2]","boolean","experience","Catalonia2008","W",41.82,1.47,,"Low",
"E01194",3228,"Viburnum lantana","Lifespan","long","[5]","semi-quantitative","general reference","Bolos1984","W",,,,,
"A17253",3228,"Viburnum lantana","NutritionalRelat","endomycorrhizal symbiosis","[8]","categorical","compilation","Correia2018","U",,,,,
"E01079",3228,"Viburnum lantana","DispMode","N","[9]","categorical","experience","Catalonia2008","W",,,,,"f.c. by mammals"
"E01232",3228,"Viburnum lantana","Diaspore","fruit","[3]","categorical","general reference","Bolos1984","W",,,,,
"E01098",3228,"Viburnum lantana","FruitType","fleshy","[2]","categorical","experience","Catalonia2008","W",,,,,
"A10253",3228,"Viburnum lantana","SeedMass","26.14","mg","quantitative","measure","Peman2012","W",39.5,-0.75,,"Low",
"A10414",3228,"Viburnum lantana","SeedMass","29.41","mg","quantitative","measure","Peman2012","W",40,-4,,"VLow",
"C08939",3228,"Viburnum lantana","BudSource","root crown","[13]","categorical","measure","Quevedo2007","W",41.82,1.47,,"Low",
"C08918",3228,"Viburnum lantana","RespFire","100","%","quantitative","measure","Quevedo2007","W",41.82,1.47,,"Low","f.a. prescribed burning conducted in spring and winter"
"E01264",3228,"Viburnum lantana","SoilSeedBank","transient|unk","[7]","semi-quantitative conditional","experience","Catalonia2008","W",41.82,1.47,,"Low",
"E01280",3228,"Viburnum lantana","SeedlEmerg","no","[2]","boolean","experience","Catalonia2008","W",41.82,1.47,,"Low",
"A08217",5191,"Viburnum opulus","GrowthForm","large shrub","[13]","categorical","general reference","Castroviejo1986","U",,,,,
"A12589",5191,"Viburnum opulus","LeafDivision","simple","[2]","categorical","general reference","Davis1965","U",,,,,
"A12377",5191,"Viburnum opulus","LeafPhenology","winter deciduous","[4]","categorical","general reference","Davis1965","U",,,,,"f.a. deciduous; f.a. genus property"
"A12896",5191,"Viburnum opulus","LeafShape","broad","[7]","categorical","general reference","Davis1965","U",,,,,
"A06710",5191,"Viburnum opulus","StemDensity","0.5","gr/cm3","quantitative","measure","Crivellaro2013","M",35.17,33.37,,"Low",
"A17255",5191,"Viburnum opulus","NutritionalRelat","endomycorrhizal symbiosis","[8]","categorical","compilation","Correia2018","U",,,,,
"A17256",5191,"Viburnum opulus","DispMode","N","[9]","categorical","compilation","Correia2018","U",,,,,
"A12351",5191,"Viburnum opulus","FruitType","fleshy","[2]","categorical","general reference","Davis1965","U",,,,,
"A10415",5191,"Viburnum opulus","SeedMass","26.32","mg","quantitative","measure","Peman2012","W",40,-4,,"VLow",
"A05519",3229,"Viburnum tinus","GrowthForm","large shrub","[13]","categorical","general reference","Tutin1964","U",,,,,
"A06361",3229,"Viburnum tinus","LeafDivision","simple","[2]","categorical","experience","Consensus2017","U",,,,,
"A07662",3229,"Viburnum tinus","LeafLifespan","12.3","months","quantitative","measure","Navas2003","W",43.59115,5.329531,,"Low","SE = 0.4 months"
