sample_number,total_nitrogen_%,total_carbon_%,species,,,,,,,,,,
1,1.8,54,Abies_koreana,,,,,,,,,,
2,0.9,49,Abies_pinsapo,,,,,,,,,,
3,2.6,42,Acorus_americanus,,,,,,,,,,
4,2.6,44,Actinidia_kolomikta,,,,,,,,,,
5,3.0,48,Adiantum_pedatum,,,,,,,,,,
6,3.7,49,Aesculus_pavia,,,,,,,,,,
7,2.9,47,Ailanthus_altissima,,,,,,,,,,
8,3.4,47,Ampelopsis_megalophylla,,,,,,,,,,
9,2.7,45,Anaphalis_margaritacea,,,,,,,,,,
10,1.9,41,Anemone_rivularis,,,,,,,,,,
11,1.8,44,Angelica_archangelica,,,,,,,,,,
12,3.5,44,Arachniodes_simplicior,,,,,,,,,,
13,1.3,52,Arbutus_unedo,,,,,,,,,,
14,3.5,42,Aristolochia_tormentosa,,,,,,,,,,
15,3.6,48,Asimina_triloba,,,,,,,,,,
16,2.6,50,Aucuba_chinensis,,,,,,,,,,
17,2.7,49,Azara_serrata,,,,,,,,,,
18,2.8,40,Boehmeria_platanifolia,,,,,,,,,,
19,2.7,47,Bretschneidera_sinensis,,,,,,,,,,
20,1.7,49,Calycanthus_floridus,,,,,,,,,,
21,1.9,41,Canna_indica,,,,,,,,,,
22,3.7,45,Catalpa_fargesii,,,,,,,,,,
23,1.5,45,Cephalotaxus_harringtonia,,,,,,,,,,
24,2.0,45,Cercidiphyllum_japonicum,,,,,,,,,,
25,1.5,54,Chamaedaphne_calyculata,,,,,,,,,,
26,2.1,47,Chelone_lyonii,,,,,,,,,,
27,2.7,49,Clethra_delavayi,,,,,,,,,,
28,1.8,41,Colchicum_autumnale,,,,,,,,,,
29,1.3,44,Cornus_kousa,,,,,,,,,,
30,2.2,47,Corylus_colurna,,,,,,,,,,
31,2.0,50,Crinodendron_hookerianum,,,,,,,,,,
32,2.3,42,Cypripedium_japonicum,,,,,,,,,,
33,1.2,46,Daphniphyllum_macropodum,,,,,,,,,,
34,4.2,49,Datisca_cannabina,,,,,,,,,,
35,3.0,43,Decaisnea_insignis,,,,,,,,,,
36,1.9,51,Dicksonia_antarctica,,,,,,,,,,
37,1.6,44,Disanthus_cercidifolius,,,,,,,,,,
38,1.2,52,Drimys_winteri,,,,,,,,,,
39,4.3,45,Dryopteris_carthusiana,,,,,,,,,,
40,3.1,48,Dryopteris_dilatata,,,,,,,,,,
41,1.3,45,Dryopteris_erythrosora,,,,,,,,,,
42,2.0,47,Dryopteris_expansa,,,,,,,,,,
43,3.1,42,Dryopteris_goldiana,,,,,,,,,,
44,3.2,46,Dryopteris_wallichiana,,,,,,,,,,
45,1.6,49,Embothrium_coccineum,,,,,,,,,,
46,3.0,44,Emmenopterys_henryi,,,,,,,,,,
47,2.0,48,Ephedra_frustillata,,,,,,,,,,
48,1.2,37,Equisetum_scirpoides,,,,,,,,,,
49,1.1,48,Escallonia_rubra,,,,,,,,,,
50,3.1,48,Euptelea_polyandra,,,,,,,,,,
51,1.3,46,Eurya_japonica,,,,,,,,,,
52,1.7,48,Fragaria_chiloensis,,,,,,,,,,
53,1.7,46,Ginkgo_biloba,,,,,,,,,,
54,2.7,47,Gunnera_monoica,,,,,,,,,,
55,2.3,44,Gymnocarpium_dryopteris,,,,,,,,,,
56,1.3,48,Haberlea_rhodopensis,,,,,,,,,,
57,1.8,49,Helwingia_chinensis,,,,,,,,,,
58,3.6,41,Hydrangea_quercifolia,,,,,,,,,,
59,2.6,43,Iris_wilsonii,,,,,,,,,,
60,1.4,48,Itea_virginica,,,,,,,,,,
61,1.7,42,Kniphofia_rooperi,,,,,,,,,,
62,3.0,45,Lathyrus_vernus,,,,,,,,,,
63,1.4,48,Liquidambar_formosana,,,,,,,,,,
64,2.1,45,Luzula_sylvatica,,,,,,,,,,
65,2.6,39,Lysichiton_camtschatcensis,,,,,,,,,,
66,1.8,43,Lysimachia_clethroides,,,,,,,,,,
67,2.8,46,Magnolia_dawsoniana,,,,,,,,,,
68,2.7,51,Matteuccia_struthiopteris,,,,,,,,,,
69,2.7,37,Meliosma_veitchiorum,,,,,,,,,,
70,1.3,53,Microbiota_decussata,,,,,,,,,,
71,1.8,47,Molinia_caerulea,,,,,,,,,,
72,2.6,41,Morus_australis,,,,,,,,,,
73,2.4,50,Myrica_gale,,,,,,,,,,
74,2.6,46,Neillia_sinensis,,,,,,,,,,
75,3.7,48,Osmunda_regalis,,,,,,,,,,
76,2.5,44,Oxalis_oregana,,,,,,,,,,
77,2.7,45,Pachysandra_procumbens,,,,,,,,,,
78,3.2,47,Paeonia_delavayi,,,,,,,,,,
79,3.0,50,Paulownia_tomentosa,,,,,,,,,,
80,3.6,44,Persicaria_campanulata,,,,,,,,,,
81,1.2,48,Picea_abies,,,,,,,,,,
82,1.2,49,Picea_alcoquiana,,,,,,,,,,
83,1.2,47,Pinus_cembra,,,,,,,,,,
84,0.91,49,Pinus_heldercichii,,,,,,,,,,
85,1.4,49,Pinus_sylvestris,,,,,,,,,,
86,3.1,47,Platanus_orientalis,,,,,,,,,,
