Species,"MAT, ° C",AL,"N, mg/g","P, mg/g",N/P,References
Abarema jupunba,25.0,4.00,21.1,,,1
Abarema mataybifolia,25.0,4.00,23.0,,,1
Abies alba,8.0,49.04,15.7,1.3,12.5,"2,*"
Abies amabilis,5.4,49.06,10.2,1.5,7.1,"3, 4"
Abies balsamea,3.8,47.66,10.3,1.4,7.7,"5, 6, 7"
Abies lasiocarpa,–3.7,40.10,10.3,,,8
Acacia karroo,17.4,32.42,40.4,,,9
Acacia koa,17.0,19.50,26.6,0.8,33.2,10
Acacia truncata,18.3,31.95,20.4,1.3,15.7,11
Acaena magellanica,1.8,,24.2,4.1,6.0,12
Acaena tenera,1.8,,18.3,2.3,7.9,12
Acer campestre,10.2,50.78,24.0,1.8,13.3,*
Acer monspessulanum,12.9,43.13,19.2,,,"13, 14"
Acer negundo,6.8,44.31,25.8,2.0,12.8,"5, 15"
Acer pensylvanicum,7.7,42.15,18.3,1.9,9.6,15–17
Acer platanoides,7.7,50.21,18.4,1.6,11.3,"18, 19, *"
Acer pseudoplatanus,7.5,51.23,22.0,1.8,12.5,*
Acer rubrum,10.3,39.22,17.4,1.8,9.6,"6, 8, 15, 17, 20–27, †"
Acer saccharum,6.7,44.22,19.0,1.9,9.7,"6, 8, 15, 18, 28, 29"
Acer spicatum,4.5,46.39,22.1,2.9,6.6,"6, 28, 30"
Achillea millefolium,3.8,46.77,21.3,1.9,7.7,"6, 31"
Acrocarpus fraxinifolius,22.2,16.00,31.0,1.9,16.3,32
Acrostichum aureum,24.1,18.40,14.6,1.4,10.7,33
Actea rubra,3.9,46.70,18.8,3.5,5.4,6
Adenanthos cygnorum,18.7,30.00,8.5,0.2,53.1,34
Adiantum pedatum,8.3,42.75,14.5,2.3,6.3,5
Adoxa moschatellina,6.7,54.58,37.2,3.9,9.7,"35, 36"
Adpdytes dimidiata,17.4,32.33,23.2,,,9
Aegiceras corniculatum,22.5,,13.3,1.2,11.1,37
Aegilops geniculata,13.2,43.72,27.1,,,13
Aegopodium podagraria,4.1,55.75,31.7,5.5,5.8,35
Afrosersalisia afzelii,28.0,7.55,21.0,,,38
Afzelia africana,26.5,7.40,29.9,1.6,18.7,39
Agapanthus africanus,14.0,40.40,25.4,3.1,8.2,40
Agastache foeniculum,3.9,46.70,14.7,2.2,7.3,6
Agave ferox,14.0,40.40,14.3,2.9,4.9,40
Agave filifera,14.0,40.40,12.6,2.7,4.7,40
Agave micracantha,14.0,40.40,11.8,4.5,2.6,40
Agave weberi,14.0,40.40,11.2,2.2,5.1,40
Agropyron caninum,7.3,50.98,38.0,2.2,17.3,41
Agropyron repens,3.9,46.70,9.1,1.1,8.3,6
Agrostis capillaris,9.3,53.40,23.3,2.2,10.6,36
Agrostis tenuis,6.4,50.02,15.7,1.4,8.2,"31, 41, 42"
Ajuga reptans,9.7,48.00,18.6,4.0,4.7,43
Alangium villosum,26.8,10.00,28.6,1.2,23.1,44
Albizia adinathifolia,17.4,32.33,38.0,,,9
Albizia chinensis,12.0,19.50,28.7,1.2,23.9,10
Albizia falcataria,22.2,16.00,25.0,2.3,10.9,32
Albizia lebbeck,24.1,18.40,31.7,,,33
Albizia schimperiana,22.2,16.00,23.0,1.9,12.1,32
Alchemilla vulgaris,3.3,47.00,30.5,,,31
Alchornea latifolia,27.0,18.00,16.3,1.1,15.2,45
Alexa wachenheimii,25.0,4.00,27.2,,,1
Allemanda violacea,24.1,18.40,16.4,1.5,11.1,33
Alliaria petiolata,9.3,53.40,48.4,5.5,8.8,36
Allium ursinum,9.4,51.24,36.9,3.4,10.7,"36, ‡"
Allocasuarina sp.,17.5,33.58,13.2,0.5,28.7,46
Alnus crispa,2.5,50.58,23.6,1.8,13.3,"6, 30, 47"
Alnus glutinosa,7.7,51.25,21.2,,,48
Alnus incana,8.7,51.88,30.3,3.6,7.4,"48, 49"
Alnus rubra,10.0,47.38,29.0,1.3,21.5,"50, 51"
Alnus rugosa,6.0,44.90,27.5,1.8,15.7,"5, 15"
Alnus sp.,–2.8,64.84,24.2,1.4,17.4,52
Alocasia odora,14.0,40.40,39.0,5.2,7.5,40
Alteramnus lucidus,24.1,18.40,,0.6,,33
Alyxia sp.,26.8,10.00,11.6,0.7,17.8,44
Amaranthus blitoides,17.0,39.54,43.2,,,53
Amaranthus cannabinus,23.2,25.85,9.1,0.5,19.3,§
Amaranthus retroflexus,16.4,40.94,33.9,,,54
Ambrosia psilostachya,7.5,43.31,16.3,2.4,6.8,5
Amelanchier humilis,3.4,47.93,21.1,4.5,4.7,30
Amelanchier sp.,3.9,46.70,18.7,3.2,5.7,6
Amorpha canescens,7.0,43.61,19.9,1.5,13.3,5
Amphicarpea bracteata,3.9,46.70,26.5,2.0,12.4,6
Anagallis arvensis,12.8,43.77,26.1,,,13
Anagyris foetida,17.0,39.54,37.2,,,53
Andira coriacea,25.0,4.00,19.7,,,1
Andira inermis,24.1,18.40,22.8,1.3,17.7,"33, 55"
Andromeda glaucophylla,6.8,44.33,9.8,0.5,13.8,"5, 56"
Andromeda polifolia,5.5,58.28,15.0,0.8,18.1,19
Andropogon gerardi,6.2,44.40,10.2,1.8,5.7,5
Andropogon glomeratus,23.2,25.85,15.3,0.7,22.7,§
Andropogon rerardi,3.9,46.70,12.5,2.2,6.4,6
Andropogon virginicus,12.0,19.50,13.3,1.0,13.3,10
Anemone canadensis,7.7,43.52,11.0,3.1,3.5,5
Anemone nemorosa,7.5,52.25,32.7,2.6,12.4,"35, 36, 41, ‡"
Anemone quinquefolia,3.9,46.70,15.3,1.5,10.4,6
Anemone ranunculoides,4.1,55.75,28.7,3.2,9.0,35
Angelica sylvestris,6.7,54.58,33.8,4.2,8.1,"35, 36"
Angelica ursina,2.1,46.92,36.8,,,57
Anisantha sterilis,9.3,53.40,27.9,2.6,10.7,36
Antennaria dioica,4.1,55.75,25.6,2.5,10.2,35
Antennaria neglecta,4.7,45.93,13.3,1.9,7.1,"5, 6"
Anthonotha macrophylla,28.0,7.55,19.2,,,38
Anthoxanthum odoratum,8.0,51.78,21.5,1.5,14.3,"36, 41"
Anthriscus sylvestris,6.7,54.58,32.4,4.2,7.8,"35, 36"
Antiaris africana,28.0,7.55,21.3,,,38
Apocynum androsaemifolium,4.7,46.00,15.0,3.0,5.1,"5, 6"
Arabidopsis thaliana,9.3,53.40,35.7,4.9,7.3,36
Aralia nudicaulis,5.2,45.43,20.1,2.8,7.1,"5, 6, 28"
Aralia racemosa,5.2,45.64,17.9,3.3,5.5,"5, 6"
Arbutus unedo,16.1,41.64,12.1,1.0,11.3,"53, 54, 58–60"
Arctostaphylos uva-ursi,–1.5,54.11,12.2,1.9,5.9,"6, 8, 19, 61"
