TaxonName,Locality,MaterialType,AltitudeFrom,AltitudeTo,CoordLatDD,CoordLongDD,CountryName,ItemAccNoFull,ItemLocationCode,AccNoCons,CollNo,DetType,ProvenanceCode,AtrA_Variant,Collector,ItemSpecCount
Rhododendron luteiflorum,,unrooted cutting,,,,,,1964-0001.02,3AB5,00002/0-0001-1964,,,G,,,1
Rhododendron luteiflorum,,unrooted cutting,,,,,,1964-0001.04,3AE3,00002/0-0001-1964,,,G,,,3
Rhododendron luteiflorum,,unrooted cutting,,,,,,1964-0001.05,HUBC,00002/0-0001-1964,,,G,,,1
Rhododendron spiciferum,,unrooted cutting,,,,,,1964-0003.02,LAS2,00004/0-0001-1964,,,G,,,1
Rhododendron spiciferum,,unrooted cutting,,,,,,1964-0003.04,3AB1,00004/0-0001-1964,,,G,,,1
Rhododendron uvariifolium,,scion,,,,,,1964-0006.01,3AE4,00015/0-0003-1964,,,G,,,1
Rhododendron ririei,,scion,,,,,,1964-0007.02,3AA2,00020/0-0004-1964,,,G,,,1
Rhododendron ririei,,scion,,,,,,1964-0007.03,3AA2,00020/0-0004-1964,,,G,,,1
Rhododendron ririei,,scion,,,,,,1964-0007.04,3AA2,00020/0-0004-1964,,,G,,,1
Rhododendron cinnabarinum subsp. cinnabarinum,,unrooted cutting,,,,,,1964-0008.02,3ADA,00024/0-0005-1964,,,G,,,1
Rhododendron glischrum subsp. rude,,scion,,,,,,1964-0009.01,3AE4,00030/0-0006-1964,,,G,,,1
Rhododendron fulvum,,scion,,,,,,1964-0010.02,HUBC,00032/0-0007-1964,,,U,,,1
Rhododendron concinnum Pseudoyanthinum Group,,unrooted cutting,,,,,,1964-0013.01,3AA7,00041/0-0011-1964,,,G,,,1
Rhododendron concinnum Pseudoyanthinum Group,,unrooted cutting,,,,,,1964-0013.02,3AB1,00041/0-0011-1964,,,G,,,1
Rhododendron concinnum Pseudoyanthinum Group,,unrooted cutting,,,,,,1964-0013.05,3AA7,00041/0-0011-1964,,,G,,,1
Rhododendron concinnum Pseudoyanthinum Group,,unrooted cutting,,,,,,1964-0013.06,3AA7,00041/0-0011-1964,,,G,,,1
Rhododendron concinnum Pseudoyanthinum Group,,unrooted cutting,,,,,,1964-0013.07,3AA7,00041/0-0011-1964,,,G,,,1
Rhododendron concinnum Pseudoyanthinum Group,,unrooted cutting,,,,,,1964-0013.08,3AA7,00041/0-0011-1964,,,G,,,1
Rhododendron concinnum Pseudoyanthinum Group,,unrooted cutting,,,,,,1964-0013.09,3AA7,00041/0-0011-1964,,,G,,,1
Rhododendron concinnum Pseudoyanthinum Group,,unrooted cutting,,,,,,1964-0013.10,3AA7,00041/0-0011-1964,,,G,,,1
Rhododendron pseudochrysanthum,,scion,,,,,,1964-0015.01,3AA5,00044/0-0012-1964,,,G,,,1
Rhododendron pseudochrysanthum,,scion,,,,,,1964-0015.02,3AA5,00044/0-0012-1964,,,G,,,1
Rhododendron piercei,,plant,,,,,,1964-0016.01,3AB7,00046/0-0013-1964,,,G,,,1
Rhododendron piercei,,plant,,,,,,1964-0016.02,HUBC,00046/0-0013-1964,,,G,,,1
Rhododendron piercei,,plant,,,,,,1964-0016.03,HUBC,00046/0-0013-1964,,,G,,,1
Rhododendron maculiferum subsp. anwheiense,,scion,,,,,,1965-0001.01,3AA5,00049/0-0014-1965,,,G,,,1
Rhododendron maculiferum subsp. anwheiense,,scion,,,,,,1965-0001.02,3AB6,00049/0-0014-1965,,,G,,,3
Rhododendron maculiferum subsp. anwheiense,,scion,,,,,,1965-0001.03,3AA5,00049/0-0014-1965,,,G,,,1
Rhododendron maculiferum subsp. anwheiense,,scion,,,,,,1965-0001.04,3AA5,00049/0-0014-1965,,,G,,,1
Rhododendron maculiferum subsp. anwheiense,,scion,,,,,,1965-0001.05,3AA5,00049/0-0014-1965,,,G,,,1
Rhododendron maculiferum subsp. anwheiense,,scion,,,,,,1965-0001.07,HUBC,00049/0-0014-1965,,,G,,,1
Rhododendron degronianum 'Dalriada',,scion,,,,,,1965-0003.01,3AH6,00053/0-0014-1965,,,G,,,1
Rhododendron degronianum 'Dalriada',,scion,,,,,,1965-0003.02,HUBC,00053/0-0014-1965,,,G,,,1
Rhododendron erosum,,scion,,,,,,1965-0004.01,3AB6,00054/0-0014-1965,,,G,,,1
Rhododendron erosum,,scion,,,,,,1965-0004.02,HUBC,00054/0-0014-1965,,,G,,,1
Rhododendron maculiferum subsp. maculiferum,,scion,,,,,,1965-0005.03,3AB4,00055/0-0014-1965,,,G,,,1
Rhododendron argipeplum,,plant,,,,,,1965-0006.03,HUBC,00056/0-0014-1965,,,U,,,1
Rhododendron wasonii,,scion,,,,,,1965-0008.01,3AD4,00059/0-0014-1965,,,G,yellow selection,,3
Rhododendron orbiculare subsp. orbiculare,,unrooted cutting,,,,,,1972-0009.02,HUBC,00062/0-0015-1972,,,U,,,1
Rhododendron floribundum,nw Sichuan,scion,,,,,China,1965-0011.01,3AAD,00073/0-0018-1965,W.4266,,W,,"Wilson, Ernest",1
Rhododendron floribundum,nw Sichuan,scion,,,,,China,1965-0011.03,3AAD,00073/0-0018-1965,W.4266,,W,,"Wilson, Ernest",1
Rhododendron degronianum subsp. heptamerum,,scion,,,,,,1965-0012.02,3AJ1,00074/0-0018-1965,,,G,,,1
Rhododendron degronianum subsp. heptamerum,,scion,,,,,,1965-0012.03,3AJ1,00074/0-0018-1965,,,G,,,1
Rhododendron principis,,scion,,,,,,1965-0013.01,3AD4,00075/0-0018-1965,,,G,,,3
Rhododendron pachytrichum,,scion,,,,,,1965-0015.01,3AB6,00080/0-0008-1965,,,G,,,2
Rhododendron pachytrichum,,scion,,,,,,1965-0015.02,HUBC,00080/0-0008-1965,,,G,,,1
Rhododendron viscidifolium,,scion,,,,,,1965-0018.03,HUBC,00086/0-0006-1965,,,U,,,1
Rhododendron barbatum,,scion,,,,,,1965-0020.01,3AB6,00091/0-0007-1965,,,G,,,1
Rhododendron barbatum,,scion,,,,,,1965-0020.02,HUBC,00091/0-0007-1965,,,G,,,1
Rhododendron coriaceum,,scion,,,,,,1965-0021.01,3AF5,00092/0-0007-1965,,,G,,,1
Rhododendron dichroanthum subsp. scyphocalyx,,scion,,,,,,1965-0022.02,3AB3,00093/0-0007-1965,,,G,,,2
Rhododendron dichroanthum subsp. scyphocalyx,,scion,,,,,,1965-0022.03,3AB4,00093/0-0007-1965,,,G,,,1
Rhododendron dichroanthum subsp. scyphocalyx,,scion,,,,,,1965-0022.04,HUBC,00093/0-0007-1965,,,G,,,1
Rhododendron oreodoxa var. fargesii,,unrooted cutting,,,,,,1965-0023.01,3AC9,00094/0-0007-1965,,,G,,,1
Rhododendron oreodoxa var. fargesii,,unrooted cutting,,,,,,1965-0023.03,3AD9,00094/0-0007-1965,,,G,,,1
Rhododendron longesquamatum,,unrooted cutting,,,,,,1972-0012.02,3AA5,00097/0-0019-1972,,,G,,,1
Rhododendron sp.,,scion,,,,,,1965-0024.01,3AF4,00098/0-0019-1965,,,G,,,1
Rhododendron sp.,,scion,,,,,,1965-0024.02,3AF7,00098/0-0019-1965,,,G,,,1
Rhododendron × planetum,,scion,,,,,,1965-0025.03,HUBC,00114/0-0021-1965,,,U,,,1
Rhododendron hodgsonii,,scion,,,,,,1965-0026.01,3AE9,00118/0-0005-1965,,,G,,,1
Rhododendron rex subsp. arizelum 'Brodick',,scion,,,,,,1965-0027.01,3AE9,00120/0-0001-1965,,,G,,,1
Rhododendron rex subsp. arizelum 'Brodick',,scion,,,,,,1965-0027.02,3AE9,00120/0-0001-1965,,,G,,,1
Rhododendron rex subsp. arizelum 'Brodick',,scion,,,,,,1965-0027.03,3AE9,00120/0-0001-1965,,,G,,,1
Rhododendron rex subsp. arizelum 'Brodick',,scion,,,,,,1965-0027.05,HUBC,00120/0-0001-1965,,,G,,,1
Rhododendron rex subsp. arizelum 'Brodick',,scion,,,,,,1965-0027.06,HUBC,00120/0-0001-1965,,,G,,,1
Rhododendron campanulatum subsp. campanulatum,,scion,,,,,,1965-0028.02,3AF6,00123/0-0022-1965,,,G,,,1
Rhododendron campanulatum subsp. campanulatum,,scion,,,,,,1965-0028.03,HUBC,00123/0-0022-1965,,,G,,,1
Rhododendron leucaspis,,unrooted cutting,,,,,,1965-0030.02,HUBC,00157/0-0007-1965,,,U,,,1
Rhododendron ambiguum,,unrooted cutting,,,,,,1965-0032.01,3AB5,00164/0-0018-1965,,,G,,,1
Rhododendron stenopetalum 'Linearifolium',,unrooted cutting,,,,,,1965-0035.01,3AE3,00174/0-0003-1965,,,G,,,1
Rhododendron stenopetalum 'Linearifolium',,unrooted cutting,,,,,,1965-0035.02,3AE1,00174/0-0003-1965,,,G,,,2
Rhododendron stenopetalum 'Linearifolium',,unrooted cutting,,,,,,1965-0035.03,LAS5,00174/0-0003-1965,,,G,,,1
Rhododendron stenopetalum 'Linearifolium',,unrooted cutting,,,,,,1965-0035.04,3AE1,00174/0-0003-1965,,,G,,,2
Rhododendron stenopetalum 'Linearifolium',,unrooted cutting,,,,,,1965-0035.05,HUBC,00174/0-0003-1965,,,G,,,1
Rhododendron orbiculare subsp. orbiculare,,scion,,,,,,1965-0042.02,3AH4,00184/0-0024-1965,,,G,,,1
Rhododendron racemosum,,plant,,,,,,1965-0043.01,LAS5,00186/0-0013-1965,,,U,,,1
Rhododendron racemosum,,plant,,,,,,1965-0043.02,HUBC,00186/0-0013-1965,,,U,,,1
Rhododendron glaucophyllum var. glaucophyllum,,unrooted cutting,,,,,,1965-0047.02,3AF1,00196/0-0005-1965,,,G,,,1
Rhododendron calostrotum subsp. keleticum,,unrooted cutting,,,,,,1965-0049.01,3AE3,00200/0-0026-1965,,,G,(mounded selection),,1
Rhododendron calostrotum subsp. keleticum,,unrooted cutting,,,,,,1965-0049.04,3AF1,00200/0-0026-1965,,,G,(mounded selection),,1
Rhododendron calostrotum subsp. keleticum,"Xizang (Tibet) Aut. Reg., SE",unrooted cutting,4570,,,,China,1965-0050.01,LAS5,00201/0-0026-1965,F.19919,,W,,"Forrest, George",1
Rhododendron traillianum var. dictyotum,nw Yunnan,scion,,,,,China,1965-0051.01,3AD4,00203/0-0021-1965,,,G,,"Rock, Joseph",1
Rhododendron × lochmium,,unrooted cutting,,,,,,1965-0052.01,3AF1,00205/0-0021-1965,,,G,,,11
