NAME,COMMON NAME,FAMILY,NATIVITY,HABIT,LOCATION and QUANTITY,ACCN #
+ Laburnocytisus 'Adamii',(a graft chimaera),Fabaceae,Garden Origin,TD,"103 (1), 70 (1)",1992-0296
+ Laburnocytisus 'Adamii',(a graft chimaera),Fabaceae,Garden Origin,TD,55 (1)                                                 ,1977-0647
Abelia 'Edward Goucher', ,Caprifoliaceae,Garden Origin,SD,"61A (4), 61 (3)",2014-0038
Abelia x grandiflora,glossy abelia,Caprifoliaceae,Garden Origin,SE,45B (4)                                                 ,1973-0268
Abelia x grandiflora 'Mardi Gras',variegated abelia,Caprifoliaceae,Garden Origin,SS,35C (1)                                                 ,2011-0318
Abeliophyllum distichum,white forsythia,Oleaceae,Korea,SD,25 (1)                                                 ,1973-0809
Abeliophyllum distichum,white forsythia,Oleaceae,Korea,SD,"126D (12), 127D (5), 121 (1), 123 (3), 120A (4), 121B (3), 121C (6), 124 (25), 126B (3)",1989-0087
Abeliophyllum distichum,white forsythia,Oleaceae,Korea,SD,"121D (3), 25 (1), 13B (4)",1978-0234
Abeliophyllum distichum,white forsythia,Oleaceae,Korea,SD,25 (1)                                                 ,1977-0238
Abeliophyllum distichum Roseum Group,pink forsythia,Oleaceae,Korea,SD,"121C (1), 120A (2), 124 (1), 123 (1), 85 (1), 126B (5)",1987-0025
Abies amabilis,Pacific silver fir,Pinaceae,BC to Oregon,TC,NURS (1)                                                 ,1998-0313
Abies amabilis,Pacific silver fir,Pinaceae,BC to Oregon,TC,22A (1)                                                 ,1985-0007
Abies balsamea,balsam fir,Pinaceae,"Alta to Nfld, s to Va",TC,8 (1)                                                 ,1991-0683
Abies fabri,Faber's fir,Pinaceae,Upper Myanmar & C&W China,TC,"130B (1), 128 (1)",1981-0785
Abies forrestii var. georgei,George's fir,Pinaceae,W China (Yunnan),TC,NURS (1)                                                 ,2016-0034
Abies grandis,grand fir,Pinaceae,BC to California,TC,22A (1)                                                 ,1974-0303
Abies grandis,grand fir,Pinaceae,BC to California,TC,"15A (1), 13C (2)",1995-0452
Abies homolepis,Nikko fir,Pinaceae,Japan,TC,77 (1)                                                 ,2002-0182
Abies homolepis,Nikko fir,Pinaceae,Japan,TC,70 (1)                                                 ,1973-0907
Abies kawakamii,Taiwan fir,Pinaceae,Taiwan,TC,NURS (1)                                                 ,2016-0032
Abies koreana,Korean fir,Pinaceae,South Korea,TC,"60 (1), 128 (2)",1979-1009
Abies koreana 'Flava',golden Korean fir,Pinaceae,Garden Origin,TC,77 (1)                                                 ,2002-0346
Abies lasiocarpa,subalpine fir,Pinaceae,Alaska & BC to Wash,TC,148 (1)                                                 ,1994-0009
Abies lasiocarpa,subalpine fir,Pinaceae,Alaska & BC to Wash,TC,"24E (2), 83 (1)",1977-0122
Abies magnifica,California red fir,Pinaceae,California & Oregon,TC,22A (1)                                                 ,2001-0170
Abies nordmanniana,Caucasian fir,Pinaceae,Caucasus & Asia Minor,TC,71A (1)                                                 ,1973-0908
Abies pinsapo,Spanish fir,Pinaceae,"S Spain, N Morocco",TC,71 (1)                                                 ,1974-0168
Abies pinsapo,Spanish fir,Pinaceae,"S Spain, N Morocco",TC,104 (1)                                                 ,1977-0538
Abies pinsapo,Spanish fir,Pinaceae,"S Spain, N Morocco",TC,71 (1)                                                 ,1975-0106
Abies procera,blue noble fir,Pinaceae,Wash to Calif (Cascades),TC,"60 (1), 104 (1)",1973-0851
Abies procera,blue noble fir,Pinaceae,Wash to Calif (Cascades),TC,70 (1)                                                 ,1973-0906
Abies procera,blue noble fir,Pinaceae,Wash to Calif (Cascades),TC,24E (1)                                                 ,2013-0164
Abies recurvata,Min fir,Pinaceae,"C China (Sichuan, Gansu)",TC,NURS (1)                                                 ,2014-0233
Abies recurvata,Min fir,Pinaceae,"C China (Sichuan, Gansu)",TC,NURS (1)                                                 ,2016-0033
Abies recurvata var. ernestii,Min fir,Pinaceae,C&W China,TC,128 (2)                                                 ,1984-0333
Abies veitchii,"Mt Fuji fir, Veitch's fir",Pinaceae,"C Japan (Honshu, Shikoku)",TC,126C (1)                                                 ,1992-0501
Abutilon 'Kentish Belle',flowering maple,Malvaceae,Garden Origin,SE,SEAS (1)                                                 ,2001-0232
Abutilon 'Melon Delight',flowering maple,Malvaceae,Garden Origin,SE,SEAS (1)                                                 ,2001-0210
Abutilon 'Moonchimes',flowering maple,Malvaceae,Garden Origin,SE,SEAS (1)                                                 ,1986-0167
Abutilon vitifolium,flowering maple,Malvaceae,Coastal Chile,SD,SEAS (1)                                                 ,1997-0811
Acacia pravissima,Oven's wattle,Fabaceae,SE Australia,TE,NURS (1)                                                 ,1999-0511
Acaena microphylla,New Zealand bur,Rosaceae,New Zealand,GE,66 (1)                                                 ,1974-0712
Acalypha wilkesiana,copperleaf,Euphorbiaceae,Pacific Islands,SD,SEAS (1)                                                 ,2009-0544
