"","genus","family","order","group","binomial","id"
"1","Chamaedaphne","Ericaceae","Ericales","Angiosperms","Chamaedaphne calyculata","ubc"
"2","Thuja","Cupressaceae","Pinales","Gymnosperms","Thuja koraiensis","vand"
"3","Yucca","Asparagaceae","Asparagales","Angiosperms","Yucca glauca","vand"
"4","Disanthus","Hamamelidaceae","Saxifragales","Angiosperms","Disanthus cercidifolius","ubc"
"5","Aristolochia","Aristolochiaceae","Piperales","Angiosperms","Aristolochia clematitis","vand"
"6","Syringa","Oleaceae","Lamiales","Angiosperms","Syringa oblata","vand"
"7","Neillia","Rosaceae","Rosales","Angiosperms","Neillia sinensis","vand"
"8","Berberis","Berberidaceae","Ranunculales","Angiosperms","Berberis darwinii","ubc"
"9","Escallonia","Escalloniaceae","Escalloniales","Angiosperms","Escallonia rubra","ubc"
"10","Pachysandra","Buxaceae","Buxales","Angiosperms","Pachysandra procumbens","vand"
"11","Daphne","Thymelaeaceae","Malvales","Angiosperms","Daphne oleoides","vand"
"12","Penstemon","Plantaginaceae","Lamiales","Angiosperms","Penstemon whippleanus","vand"
"13","Viburnum","Adoxaceae","Dipsacales","Angiosperms","Viburnum davidii","ubc"
"14","Persicaria","Polygonaceae","Caryophyllales","Angiosperms","Persicaria campanulata","vand"
"15","Gentiana","Gentianaceae","Gentianales","Angiosperms","Gentiana verna","vand"
"16","Cephalotaxus","Taxaceae","Pinales","Gymnosperms","Cephalotaxus harringtonia","ubc"
"17","Tsuga","Pinaceae","Pinales","Gymnosperms","Tsuga mertensiana","ubc"
"18","Aesculus","Sapindaceae","Sapindales","Angiosperms","Aesculus pavia","ubc"
"19","Lathyrus","Fabaceae","Fabales","Angiosperms","Lathyrus vernus","ubc"
"20","Trochodendron","Trochodendraceae","Trochodendrales","Angiosperms","Trochodendron aralioides","ubc"
"21","Molinia","Poaceae","Poales","Angiosperms","Molinia caerulea","vand"
"22","Glandora","Boraginaceae","Boraginales","Angiosperms","Glandora diffusa","ubc"
"23","Iris","Iridaceae","Asparagales","Angiosperms","Iris wilsonii","ubc"
"24","Tripterygium","Celastraceae","Celastrales","Angiosperms","Tripterygium regelii","vand"
"25","Phellodendron","Rutaceae","Sapindales","Angiosperms","Phellodendron amurense","vand"
"26","Apocynum","Apocynaceae","Gentianales","Angiosperms","Apocynum cannabinum","vand"
"27","Houttuynia","Saururaceae","Piperales","Angiosperms","Houttuynia cordata","ubc"
"28","Cornus","Cornaceae","Cornales","Angiosperms","Cornus kousa","ubc"
"29","Stewartia","Theaceae","Ericales","Angiosperms","Stewartia serrata","ubc"
"30","Corylus","Betulaceae","Fagales","Angiosperms","Corylus colurna","ubc"
"31","Eurya","Pentaphylacaceae","Ericales","Angiosperms","Eurya japonica","ubc"
"32","Hypericum","Hypericaceae","Malpighiales","Angiosperms","Hypericum lancasteri","ubc"
"33","Symphoricarpos","Caprifoliaceae","Dipsacales","Angiosperms","Symphoricarpos mollis","vand"
"34","Quercus","Fagaceae","Fagales","Angiosperms","Quercus montana","vand"
"35","Aucuba","Garryaceae","Garryales","Angiosperms","Aucuba chinensis","ubc"
"36","Verbascum","Scrophulariaceae","Lamiales","Angiosperms","Verbascum nigrum","vand"
"37","Trillium","Melanthiaceae","Liliales","Angiosperms","Trillium grandiflorum","ubc"
"38","Stachyurus","Stachyuraceae","Crossosomatales","Angiosperms","Stachyurus chinensis","ubc"
"39","Magnolia","Magnoliaceae","Magnoliales","Angiosperms","Magnolia dawsoniana","ubc"
"40","Sciadopitys","Sciadopityaceae","Pinales","Gymnosperms","Sciadopitys verticillata","ubc"
"41","Decaisnea","Lardizabalaceae","Ranunculales","Angiosperms","Decaisnea insignis","ubc"
"42","Myrica","Myricaceae","Fagales","Angiosperms","Myrica gale","ubc"
"43","Actinidia","Actinidiaceae","Ericales","Angiosperms","Actinidia kolomikta","ubc"
"44","Decumaria","Hydrangeaceae","Cornales","Angiosperms","Decumaria barbara","vand"
"45","Anemone","Ranunculaceae","Ranunculales","Angiosperms","Anemone rivularis","ubc"
"46","Haberlea","Gesneriaceae","Lamiales","Angiosperms","Haberlea rhodopensis","ubc"
"47","Tolmiea","Saxifragaceae","Saxifragales","Angiosperms","Tolmiea menziesii","ubc"
"48","Dryopteris","Dryopteridaceae","Polypodiales-Eupolypod I","Pteridophytes","Dryopteris carthusiana","vand"
"49","Lysichiton","Araceae","Alismatales","Angiosperms","Lysichiton camtschatcensis","ubc"
"50","Azara","Salicaceae","Malpighiales","Angiosperms","Azara serrata","vand"
"51","Nymphoides","Menyanthaceae","Asterales","Angiosperms","Nymphoides peltata","ubc"
