"genus","family","order","group","binomial","id"
"Chamaedaphne","Ericaceae","Ericales","Angiosperms","Chamaedaphne calyculata","ubc"
"Disanthus","Hamamelidaceae","Saxifragales","Angiosperms","Disanthus cercidifolius","ubc"
"Berberis","Berberidaceae","Ranunculales","Angiosperms","Berberis darwinii","ubc"
"Escallonia","Escalloniaceae","Escalloniales","Angiosperms","Escallonia rubra","ubc"
"Viburnum","Adoxaceae","Dipsacales","Angiosperms","Viburnum davidii","ubc"
"Cephalotaxus","Taxaceae","Pinales","Gymnosperms","Cephalotaxus harringtonia","ubc"
"Tsuga","Pinaceae","Pinales","Gymnosperms","Tsuga mertensiana","ubc"
"Aesculus","Sapindaceae","Sapindales","Angiosperms","Aesculus pavia","ubc"
"Lathyrus","Fabaceae","Fabales","Angiosperms","Lathyrus vernus","ubc"
"Trochodendron","Trochodendraceae","Trochodendrales","Angiosperms","Trochodendron aralioides","ubc"
"Glandora","Boraginaceae","Boraginales","Angiosperms","Glandora diffusa","ubc"
"Iris","Iridaceae","Asparagales","Angiosperms","Iris wilsonii","ubc"
"Houttuynia","Saururaceae","Piperales","Angiosperms","Houttuynia cordata","ubc"
"Cornus","Cornaceae","Cornales","Angiosperms","Cornus kousa","ubc"
"Stewartia","Theaceae","Ericales","Angiosperms","Stewartia serrata","ubc"
"Corylus","Betulaceae","Fagales","Angiosperms","Corylus colurna","ubc"
"Eurya","Pentaphylacaceae","Ericales","Angiosperms","Eurya japonica","ubc"
"Hypericum","Hypericaceae","Malpighiales","Angiosperms","Hypericum lancasteri","ubc"
"Aucuba","Garryaceae","Garryales","Angiosperms","Aucuba chinensis","ubc"
"Trillium","Melanthiaceae","Liliales","Angiosperms","Trillium grandiflorum","ubc"
"Stachyurus","Stachyuraceae","Crossosomatales","Angiosperms","Stachyurus chinensis","ubc"
"Magnolia","Magnoliaceae","Magnoliales","Angiosperms","Magnolia dawsoniana","ubc"
"Sciadopitys","Sciadopityaceae","Pinales","Gymnosperms","Sciadopitys verticillata","ubc"
"Decaisnea","Lardizabalaceae","Ranunculales","Angiosperms","Decaisnea insignis","ubc"
"Myrica","Myricaceae","Fagales","Angiosperms","Myrica gale","ubc"
"Actinidia","Actinidiaceae","Ericales","Angiosperms","Actinidia kolomikta","ubc"
"Anemone","Ranunculaceae","Ranunculales","Angiosperms","Anemone rivularis","ubc"
"Haberlea","Gesneriaceae","Lamiales","Angiosperms","Haberlea rhodopensis","ubc"
"Tolmiea","Saxifragaceae","Saxifragales","Angiosperms","Tolmiea menziesii","ubc"
"Lysichiton","Araceae","Alismatales","Angiosperms","Lysichiton camtschatcensis","ubc"
"Nymphoides","Menyanthaceae","Asterales","Angiosperms","Nymphoides peltata","ubc"
"Cercidiphyllum","Cercidiphyllaceae","Saxifragales","Angiosperms","Cercidiphyllum japonicum","ubc"
"Acorus","Acoraceae","Acorales","Angiosperms","Acorus americanus","ubc"
"Teucrium","Lamiaceae","Lamiales","Angiosperms","Teucrium pyrenaicum","ubc"
"Kadsura","Schisandraceae","Austrobaileyales","Angiosperms","Kadsura coccinea","ubc"
"Ampelopsis","Vitaceae","Vitales","Angiosperms","Ampelopsis megalophylla","ubc"
"Sanguinaria","Papaveraceae","Ranunculales","Angiosperms","Sanguinaria canadensis","ubc"
"Rehderodendron","Styracaceae","Ericales","Angiosperms","Rehderodendron macrocarpum","ubc"
"Ginkgo","Ginkgoaceae","Ginkgoales","Gymnosperms","Ginkgo biloba","ubc"
"Juglans","Juglandaceae","Fagales","Angiosperms","Juglans mandshurica","ubc"
"Staphylea","Staphyleaceae","Crossosomatales","Angiosperms","Staphylea bumalda","ubc"
"Paeonia","Paeoniaceae","Saxifragales","Angiosperms","Paeonia cambessedesii","ubc"
"Halocarpus","Podocarpaceae","Pinales","Gymnosperms","Halocarpus bidwillii","ubc"
"Opuntia","Cactaceae","Caryophyllales","Angiosperms","Opuntia polyacantha","ubc"
"Shepherdia","Elaeagnaceae","Rosales","Angiosperms","Shepherdia canadensis","ubc"
"Elodea","Hydrocharitaceae","Alismatales","Angiosperms","Elodea canadensis","ubc"
"Equisetum","Equisetaceae","Equisetales","Pteridophytes","Equisetum scirpoides","ubc"
"Schefflera","Araliaceae","Apiales","Angiosperms","Schefflera delavayi","ubc"
"Narcissus","Amaryllidaceae","Asparagales","Angiosperms","Narcissus minor","ubc"
