"","X","TaxonName","ItemAccNoFull","AccNoCons","ItemLocationCode","ItemSpecCount","ProvenanceCode","ItemCoordX","ItemCoordY","Family","Genus","Species","NAME","COMMON.NAME","FAMILY","NATIVITY","HABIT","LOCATION.and.QUANTITY","ACCN..","X.1","genus","family","order","group","binomial","id"
"1",1,"Trillium ovatum","1971-0229.01","07411/0-0116-1971","1B34","1","W",NA,NA,"Melanthiaceae","Trillium","ovatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"Hypericum densiflorum","1975-0281.05","11659/0-0138-1975","LNA1","3","G",NA,NA,"Hypericaceae","Hypericum","densiflorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"Oxalis oregana","1978-0082.01","15664/0-0055-1978","1B30","1","W",NA,NA,"Oxalidaceae","Oxalis","oregana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"Oxalis oregana","1978-0082.02","15664/0-0055-1978","1B18","1","W",NA,NA,"Oxalidaceae","Oxalis","oregana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"Rhododendron morii","1977-0725.02","16646/0-0083-1977","3AB8","1","W",NA,NA,"Ericaceae","Rhododendron","morii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"Quercus macranthera","1979-0036.01","17417/0-0013-1979","3AD9","1","G",49.25211341,-123.2496336,"Fagaceae","Quercus","macranthera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"Ceanothus fendleri","1979-0835.01","20291/0-0414-1979","LNA6","1","W",NA,NA,"Rhamnaceae","Ceanothus","fendleri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"Fuchsia magellanica","1982-0722.01","21042/0-0013-1982","1M09","1","G",NA,NA,"Onagraceae","Fuchsia","magellanica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"Fragaria chiloensis","1984-0591.02","24973/0-5291-1984","1B31","many","W",NA,NA,"Rosaceae","Fragaria","chiloensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"Rhododendron morii","1986-0173.01","24988/0-0539-1986","3AA5","1","W",NA,NA,"Ericaceae","Rhododendron","morii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,"Rhododendron morii","1986-0173.02","24988/0-0539-1986","3AA5","1","W",NA,NA,"Ericaceae","Rhododendron","morii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,"Rhododendron morii","1986-0173.03","24988/0-0539-1986","3AA5","1","W",NA,NA,"Ericaceae","Rhododendron","morii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"Fuchsia magellanica","1992-0463.01","29822/0-0596-1992","LSA2","1","W",NA,NA,"Onagraceae","Fuchsia","magellanica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"Trillium ovatum","1995-0240.01","31525/0-5448-1995","1B33","3","W",NA,NA,"Melanthiaceae","Trillium","ovatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,"Paeonia delavayi","1993-0551.01","31711/0-0571-1993","3AA4","1","W",NA,NA,"Paeoniaceae","Paeonia","delavayi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,"Paeonia delavayi","1993-0551.02","31711/0-0571-1993","3AA4","1","W",NA,NA,"Paeoniaceae","Paeonia","delavayi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,"Fuchsia magellanica","1995-0593.01","31973/0-5392-1995","LSA2","1","G",NA,NA,"Onagraceae","Fuchsia","magellanica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,"Gentiana acaulis","1995-0595.01","31975/0-5159-1995","LEU","1","G",NA,NA,"Gentianaceae","Gentiana","acaulis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,"Microbiota decussata","1983-0987.01","32924/0-5254-1983","1X01","100","G",NA,NA,"Cupressaceae","Microbiota","decussata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"Microbiota decussata","1983-0987.02","32924/0-5254-1983","1X02","50","G",NA,NA,"Cupressaceae","Microbiota","decussata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,"Ceanothus fendleri","1998-0105.01","33558/0-0633-1998","LNA2","1","G",NA,NA,"Rhamnaceae","Ceanothus","fendleri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,"Gentiana acaulis","1998-0292.01","33855/0-0167-1998","LEU2","1","G",NA,NA,"Gentianaceae","Gentiana","acaulis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,"Fuchsia magellanica","1998-0450.01","34100/0-0558-1998","LSA1","4","G",NA,NA,"Onagraceae","Fuchsia","magellanica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,"Colchicum autumnale","1985-0529.01","34955/0-0075-1985","1F11","13","U",NA,NA,"Colchicaceae","Colchicum","autumnale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,"Penstemon ovatus","1999-0445.01","35022/0-0669-1999","1C01","7","G",NA,NA,"Plantaginaceae","Penstemon","ovatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,"Fuchsia magellanica","2000-0105.01","35126/0-5555-2000","LSA2","1","G",NA,NA,"Onagraceae","Fuchsia","magellanica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,"Rhododendron morii","2000-0594.01","35972/0-0598-2000","3AA5","1","W",NA,NA,"Ericaceae","Rhododendron","morii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
