"","NAME","COMMON.NAME","FAMILY","NATIVITY","HABIT","LOCATION.and.QUANTITY","ACCN.."
"20","Abies kawakamii","Taiwan fir","Pinaceae","Taiwan","TC","NURS (1)                                                 ","2016-0032"
"21","Abies koreana","Korean fir","Pinaceae","South Korea","TC","60 (1), 128 (2)","1979-1009"
"43","Acalypha wilkesiana","copperleaf","Euphorbiaceae","Pacific Islands","SD","SEAS (1)                                                 ","2009-0544"
"426","Ailanthus altissima","tree of heaven","Simaroubaceae","N Chn (& worldwide weed)","TD","122 (1)                                                 ","1983-0246"
"427","Ailanthus altissima","tree of heaven","Simaroubaceae","N Chn (& worldwide weed)","TD","74 (7), 127D (2), 134D (4)","1982-1002"
"594","Alstroemeria isabellana"," ","Alstroemeriaceae","South America","HD","NURS (3)                                                 ","2017-0304"
"649","Anaphalis margaritacea","pearly everlasting","Asteraceae","N Amer, Asia","HD","NURS (72)                                                 ","2015-0039"
"650","Anaphalis margaritacea","pearly everlasting","Asteraceae","N Amer, Asia","HD","NURS (27)                                                 ","2015-0030"
"651","Anaphalis margaritacea","pearly everlasting","Asteraceae","N Amer, Asia","HD","NURS (27), 4 (5), 24A (10)","2011-0302"
"652","Anaphalis margaritacea","pearly everlasting","Asteraceae","N Amer, Asia","HD","137G (6)                                                 ","2013-0211"
"744","Angelica archangelica","archangel","Apiaceae","Europe & Asia","HD","41B (3)                                                 ","2014-0184"
"745","Angelica archangelica","archangel","Apiaceae","Europe & Asia","HD","41B (3)                                                 ","1995-0607"
"746","Angelica archangelica","archangel","Apiaceae","Europe & Asia","HD","NURS (3)                                                 ","2010-0159"
"747","Angelica archangelica","archangel","Apiaceae","Europe & Asia","HD","NURS (2), 41B (1)","2008-0245"
"771","Apocynum cannabinum","Indian hemp","Apocynaceae","Canada & USA","HD","29 (4), 39 (1)","1992-0515"
"827","Arachniodes simplicior","variegated shield fern","Dryopteridaceae","China & Japan","HE","128 (10)                                                 ","2002-0283"
"828","Arachniodes simplicior","variegated shield fern","Dryopteridaceae","China & Japan","HE","NURS (10), 121 (10)","2012-0223"
"865","Arbutus unedo","strawberry tree","Ericaceae","SW Ireland to Asia Minor","SE","32A (4)                                                 ","1973-0605"
"866","Arbutus unedo","strawberry tree","Ericaceae","SW Ireland to Asia Minor","SE","32A (3)                                                 ","1994-0455"
"954","Aristolochia clematitis","birthwort","Aristolochiaceae","Europe, e to Caucasus","VD","80A (1), 127B (1)","1997-0722"
"963","Armeria maritima","sea thrift, sea pink","Plumbaginaceae","Can, USA, Ice & Eurasia","HE","24A (48)                                                 ","2000-0342"
"964","Armeria maritima","sea thrift, sea pink","Plumbaginaceae","Can, USA, Ice & Eurasia","HE","24A (36)                                                 ","2009-0617"
"965","Armeria maritima","sea thrift, sea pink","Plumbaginaceae","Can, USA, Ice & Eurasia","HE","135C (1)                                                 ","1996-0108"
"1075","Asimina triloba","pawpaw","Annonaceae","NY to Fla & Texas","TD","107A (1)                                                 ","2012-0020"
"1076","Asimina triloba","pawpaw","Annonaceae","NY to Fla & Texas","TD","27 (2)                                                 ","1978-0364"
"1104","Astelia banksii","coastal astelia, wharawhara","Asteliaceae","New Zealand","HE","58C (5)                                                 ","2009-0200"
"1105","Astelia banksii","coastal astelia, wharawhara","Asteliaceae","New Zealand","HE","58 (2)                                                 ","2008-0221"
"1271","Azara serrata","corcolΘn, saw-toothed azara","Salicaceae","Chile","SE","59 (1)                                                 ","1999-0379"
"1419","Billardiera heterophylla","bluebell creeper","Pittosporaceae","W Australia","VE","58C (1)                                                 ","2010-0305"
"1420","Billardiera heterophylla","bluebell creeper","Pittosporaceae","W Australia","VE","NURS (7)                                                 ","2003-0012"
"1518","Butia capitata","pindo palm","Arecaceae","South America","TE","NURS (1)                                                 ","2017-0232"
"1519","Butomus umbellatus","flowering rush","Butomaceae","Eurasia","W","LK04 (20)                                                 ","1989-0072"
"1520","Butomus umbellatus","flowering rush","Butomaceae","Eurasia","W","SEAS (1)                                                 ","2005-0044"
"1521","Butomus umbellatus","flowering rush","Butomaceae","Eurasia","W","LK04 (10)                                                 ","1989-0170"
"1522","Butomus umbellatus","flowering rush","Butomaceae","Eurasia","W","LK05 (1)                                                 ","1988-0160"
"1719","Calycanthus occidentalis","western sweet shrub","Calycanthaceae","California","SD","22A (3)                                                 ","1973-0450"
"1837","Campanula patula","bell flower","Campanulaceae","Europe & W Siberia","B","50Q (17)                                                 ","1996-0591"
"1881","Canna indica","Indian shot, queensland","Cannaceae","neotrop, widely nat","HE","SEAS (1)                                                 ","2001-0347"
"1966","Carica papaya","papaya","Caricaceae","tropical America","TE","SEAS (1)                                                 ","2001-0340"
"1977","Carpobrotus edulis","Hottentot fig","Aizoaceae","S Afr, widely nat","HE","SEAS (1)                                                 ","2001-0341"
"2047","Celtis sinensis","Japanese hackberry","Cannabaceae","China, Japan & Korea","TD","136 (1)                                                 ","1981-0144"
"2203","Chloranthus serratus","ji ji","Chloranthaceae","China & Japan","HD","86 (5)                                                 ","2013-0237"
"2547","Corokia cotoneaster","wire-netting bush, korokio","Argophyllaceae","New Zealand","SE","NURS (5)                                                 ","2013-0309"
"2603","Corymbia citriodora","lemon-scented gum","Myrtaceae","E Australia","TE","NURS (1)                                                 ","2010-0160"
"2604","Corymbia citriodora","lemon-scented gum","Myrtaceae","E Australia","TE","NURS (3)                                                 ","2017-0178"
"2605","Corymbia citriodora","lemon-scented gum","Myrtaceae","E Australia","TE","SEAS (2)                                                 ","1995-0573"
"2663","Crambe maritima","sea kale","Brassicaceae","Europe","HD","69B (9), 61 (2)","2003-0108"
"2798","Cyathea australis","tree fern","Cyatheaceae","Eastern Australia","TE","NURS (15)                                                 ","2017-0326"
"2799","Cyathea australis","tree fern","Cyatheaceae","Eastern Australia","TE","SEAS (1)                                                 ","2007-0005"
"2804","Cycas revoluta","Japanese sago palm","Cycadaceae","Japan","SE","SEAS (1)                                                 ","1979-0573"
"2805","Cycas revoluta","Japanese sago palm","Cycadaceae","Japan","SE","SEAS (1)                                                 ","2003-0165"
"2806","Cycas revoluta","Japanese sago palm","Cycadaceae","Japan","SE","SEAS (1)                                                 ","1984-0033"
"2871","Cypripedium japonicum","lady's-slipper orchid","Orchidaceae","China & Japan","HD","127A (1), 127B (2)","1999-0002"
"2950","Daphne oleoides","dwarf daphne","Thymelaeaceae","SE Spain to Himalayas","SE","51C (1)                                                 ","2015-0080"
"2965","Datisca cannabina","false hemp","Datiscaceae","Greece (Crete) to W Asia","HD","123 (12), 32B (1)","2016-0108"
"2972","Decumaria barbara","wood vamp","Hydrangeaceae","SE USA","SD","33A (1)                                                 ","2013-0308"
"2973","Decumaria barbara","wood vamp","Hydrangeaceae","SE USA","SD","NURS (2)                                                 ","2016-0214"
"3012","Dennstaedtia punctilobula","eastern hay-scented fern","Dennstaedtiaceae","E North America","HD","NURS (10)                                                 ","2008-0494"
"3119","Dicksonia antarctica","Tasmanian tree fern","Dicksoniaceae","E Austrl (inc Tasmania)","HE","58 (3)                                                 ","2004-0017"
"3120","Dicksonia antarctica","Tasmanian tree fern","Dicksoniaceae","E Austrl (inc Tasmania)","HE","58A (2)                                                 ","1997-0691"
"3121","Dicksonia antarctica","Tasmanian tree fern","Dicksoniaceae","E Austrl (inc Tasmania)","HE","NURS (2)                                                 ","2017-0280"
"3122","Dicksonia antarctica","Tasmanian tree fern","Dicksoniaceae","E Austrl (inc Tasmania)","HE","NURS (4)                                                 ","2017-0297"
"3123","Dicksonia antarctica","Tasmanian tree fern","Dicksoniaceae","E Austrl (inc Tasmania)","HE","130A (3)                                                 ","1994-0001"
"3124","Dicksonia antarctica","Tasmanian tree fern","Dicksoniaceae","E Austrl (inc Tasmania)","HE","130D (5)                                                 ","2016-0149"
"3125","Dicksonia antarctica","Tasmanian tree fern","Dicksoniaceae","E Austrl (inc Tasmania)","HE","130B (3)                                                 ","2014-0151"
"3163","Dionaea muscipula","Venus flytrap","Droseraceae","North & South Carolina","HD","SEAS (5)                                                 ","2005-0083"
"3259","Dryopteris carthusiana","narrow buckler fern","Dryopteridaceae","Can, USA, Eur & Eurasia","HD","128 (5), 130B (1)","1993-0145"
