"","X","genus","family","order","group","binomial","id"
"1",1,"Chamaedaphne","Ericaceae","Ericales","Angiosperms","Chamaedaphne_calyculata","ubc"
"2",2,"Thuja","Cupressaceae","Pinales","Gymnosperms","Thuja_koraiensis","vand"
"3",3,"Yucca","Asparagaceae","Asparagales","Angiosperms","Yucca_glauca","vand"
"5",5,"Aristolochia","Aristolochiaceae","Piperales","Angiosperms","Aristolochia_clematitis","vand"
"7",7,"Neillia","Rosaceae","Rosales","Angiosperms","Neillia_sinensis","vand"
"8",8,"Berberis","Berberidaceae","Ranunculales","Angiosperms","Berberis_darwinii","ubc"
"9",9,"Escallonia","Escalloniaceae","Escalloniales","Angiosperms","Escallonia_rubra","ubc"
"11",11,"Daphne","Thymelaeaceae","Malvales","Angiosperms","Daphne_oleoides","vand"
"12",12,"Penstemon","Plantaginaceae","Lamiales","Angiosperms","Penstemon_whippleanus","vand"
"14",14,"Persicaria","Polygonaceae","Caryophyllales","Angiosperms","Persicaria_campanulata","vand"
"15",15,"Gentiana","Gentianaceae","Gentianales","Angiosperms","Gentiana_verna","vand"
"17",17,"Tsuga","Pinaceae","Pinales","Gymnosperms","Tsuga_mertensiana","ubc"
"19",19,"Lathyrus","Fabaceae","Fabales","Angiosperms","Lathyrus_vernus","ubc"
"21",21,"Molinia","Poaceae","Poales","Angiosperms","Molinia_caerulea","vand"
"22",22,"Glandora","Boraginaceae","Boraginales","Angiosperms","Glandora_diffusa","ubc"
"24",24,"Tripterygium","Celastraceae","Celastrales","Angiosperms","Tripterygium_regelii","vand"
"25",25,"Phellodendron","Rutaceae","Sapindales","Angiosperms","Phellodendron_amurense","vand"
"26",26,"Apocynum","Apocynaceae","Gentianales","Angiosperms","Apocynum_cannabinum","vand"
"27",27,"Houttuynia","Saururaceae","Piperales","Angiosperms","Houttuynia_cordata","ubc"
"32",32,"Hypericum","Hypericaceae","Malpighiales","Angiosperms","Hypericum_lancasteri","ubc"
"34",34,"Quercus","Fagaceae","Fagales","Angiosperms","Quercus_montana","vand"
"35",35,"Aucuba","Garryaceae","Garryales","Angiosperms","Aucuba_chinensis","ubc"
"37",37,"Trillium","Melanthiaceae","Liliales","Angiosperms","Trillium_grandiflorum","ubc"
"42",42,"Myrica","Myricaceae","Fagales","Angiosperms","Myrica_gale","ubc"
"44",44,"Decumaria","Hydrangeaceae","Cornales","Angiosperms","Decumaria_barbara","vand"
"47",47,"Tolmiea","Saxifragaceae","Saxifragales","Angiosperms","Tolmiea_menziesii","ubc"
"51",51,"Nymphoides","Menyanthaceae","Asterales","Angiosperms","Nymphoides_peltata","ubc"
"52",52,"Nymphaea","Nymphaeaceae","Nymphaeales","Angiosperms","Nymphaea_alba","vand"
"53",53,"Anaphalis","Asteraceae","Asterales","Angiosperms","Anaphalis_margaritacea","vand"
"54",54,"Cercidiphyllum","Cercidiphyllaceae","Saxifragales","Angiosperms","Cercidiphyllum_japonicum","ubc"
