genus,family,order,group,binomial,id
Chamaedaphne,Ericaceae,Ericales,Angiosperms,Chamaedaphne_calyculata,ubc
Disanthus,Hamamelidaceae,Saxifragales,Angiosperms,Disanthus_cercidifolius,ubc
Berberis,Berberidaceae,Ranunculales,Angiosperms,Berberis_darwinii,ubc
Escallonia,Escalloniaceae,Escalloniales,Angiosperms,Escallonia_rubra,ubc
Viburnum,Adoxaceae,Dipsacales,Angiosperms,Viburnum_davidii,ubc
Cephalotaxus,Taxaceae,Pinales,Gymnosperms,Cephalotaxus_harringtonia,ubc
Tsuga,Pinaceae,Pinales,Gymnosperms,Tsuga_mertensiana,ubc
Aesculus,Sapindaceae,Sapindales,Angiosperms,Aesculus_pavia,ubc
Lathyrus,Fabaceae,Fabales,Angiosperms,Lathyrus_vernus,ubc
Trochodendron,Trochodendraceae,Trochodendrales,Angiosperms,Trochodendron_aralioides,ubc
Glandora,Boraginaceae,Boraginales,Angiosperms,Glandora_diffusa,ubc
Iris,Iridaceae,Asparagales,Angiosperms,Iris_wilsonii,ubc
Houttuynia,Saururaceae,Piperales,Angiosperms,Houttuynia_cordata,ubc
Cornus,Cornaceae,Cornales,Angiosperms,Cornus_kousa,ubc
Stewartia,Theaceae,Ericales,Angiosperms,Stewartia_serrata,ubc
Corylus,Betulaceae,Fagales,Angiosperms,Corylus_colurna,ubc
Eurya,Pentaphylacaceae,Ericales,Angiosperms,Eurya_japonica,ubc
Hypericum,Hypericaceae,Malpighiales,Angiosperms,Hypericum_lancasteri,ubc
Aucuba,Garryaceae,Garryales,Angiosperms,Aucuba_chinensis,ubc
Trillium,Melanthiaceae,Liliales,Angiosperms,Trillium_grandiflorum,ubc
Stachyurus,Stachyuraceae,Crossosomatales,Angiosperms,Stachyurus_chinensis,ubc
Magnolia,Magnoliaceae,Magnoliales,Angiosperms,Magnolia_dawsoniana,ubc
Sciadopitys,Sciadopityaceae,Pinales,Gymnosperms,Sciadopitys_verticillata,ubc
Decaisnea,Lardizabalaceae,Ranunculales,Angiosperms,Decaisnea_insignis,ubc
Myrica,Myricaceae,Fagales,Angiosperms,Myrica_gale,ubc
Actinidia,Actinidiaceae,Ericales,Angiosperms,Actinidia_kolomikta,ubc
Anemone,Ranunculaceae,Ranunculales,Angiosperms,Anemone_rivularis,ubc
Haberlea,Gesneriaceae,Lamiales,Angiosperms,Haberlea_rhodopensis,ubc
Tolmiea,Saxifragaceae,Saxifragales,Angiosperms,Tolmiea_menziesii,ubc
Lysichiton,Araceae,Alismatales,Angiosperms,Lysichiton_camtschatcensis,ubc
Nymphoides,Menyanthaceae,Asterales,Angiosperms,Nymphoides_peltata,ubc
Cercidiphyllum,Cercidiphyllaceae,Saxifragales,Angiosperms,Cercidiphyllum_japonicum,ubc
Acorus,Acoraceae,Acorales,Angiosperms,Acorus_americanus,ubc
Teucrium,Lamiaceae,Lamiales,Angiosperms,Teucrium_pyrenaicum,ubc
Kadsura,Schisandraceae,Austrobaileyales,Angiosperms,Kadsura_coccinea,ubc
Ampelopsis,Vitaceae,Vitales,Angiosperms,Ampelopsis_megalophylla,ubc
Sanguinaria,Papaveraceae,Ranunculales,Angiosperms,Sanguinaria_canadensis,ubc
Rehderodendron,Styracaceae,Ericales,Angiosperms,Rehderodendron_macrocarpum,ubc
Ginkgo,Ginkgoaceae,Ginkgoales,Gymnosperms,Ginkgo_biloba,ubc
Juglans,Juglandaceae,Fagales,Angiosperms,Juglans_mandshurica,ubc
Staphylea,Staphyleaceae,Crossosomatales,Angiosperms,Staphylea_bumalda,ubc
Paeonia,Paeoniaceae,Saxifragales,Angiosperms,Paeonia_cambessedesii,ubc
Halocarpus,Podocarpaceae,Pinales,Gymnosperms,Halocarpus_bidwillii,ubc
Opuntia,Cactaceae,Caryophyllales,Angiosperms,Opuntia_polyacantha,ubc
Shepherdia,Elaeagnaceae,Rosales,Angiosperms,Shepherdia_canadensis,ubc
Elodea,Hydrocharitaceae,Alismatales,Angiosperms,Elodea_canadensis,ubc
Equisetum,Equisetaceae,Equisetales,Pteridophytes,Equisetum_scirpoides,ubc
Schefflera,Araliaceae,Apiales,Angiosperms,Schefflera_delavayi,ubc
Narcissus,Amaryllidaceae,Asparagales,Angiosperms,Narcissus_minor,ubc
Daphniphyllum,Daphniphyllaceae,Saxifragales,Angiosperms,Daphniphyllum_macropodum,ubc
